ORDER_ID,CUSTOMER NAME,PRODUCT,COUNTRY
10197,Enaco Distributors,Classic Cars,Spain
10222,Collectable Mini Designs Co.,Classic Cars,USA
10248,Land of Toys Inc.,Classic Cars,USA
10261,Quebec Home Shopping Network,Classic Cars,Canada
10273,Petit Auto,Classic Cars,Belgium
10283,"Royal Canadian Collectables, Ltd.",Classic Cars,Canada
10295,Gifts4AllAges.com,Classic Cars,USA
10307,"Classic Gift Ideas, Inc",Classic Cars,USA
10316,giftsbymail.co.uk,Classic Cars,UK
10325,Baane Mini Imports,Classic Cars,Norway
10337,Classic Legends Inc.,Classic Cars,USA
10350,Euro Shopping Channel,Classic Cars,Spain
10359,Reims Collectables,Classic Cars,France
10373,"Oulu Toy Supplies, Inc.",Classic Cars,Finland
10395,Lyon Souveniers,Classic Cars,France
10400,The Sharp Gifts Warehouse,Classic Cars,USA
10414,Gifts4AllAges.com,Classic Cars,USA
10114,"La Corne D'abondance, Co.",Classic Cars,France
10164,Mini Auto Werke,Classic Cars,Austria
10175,"Stylish Desk Decors, Co.",Classic Cars,UK
10207,Diecast Collectables,Classic Cars,USA
10217,Handji Gifts& Co,Classic Cars,Singapore
10229,Mini Gifts Distributors Ltd.,Classic Cars,USA
10259,Handji Gifts& Co,Classic Cars,Singapore
10281,Diecast Classics Inc.,Classic Cars,USA
10305,Marta's Replicas Co.,Classic Cars,USA
10313,Canadian Gift Exchange Network,Classic Cars,Canada
10334,"Volvo Model Replicas, Co",Classic Cars,Sweden
10370,"Anna's Decorations, Ltd",Classic Cars,Australia
10425,La Rochelle Gifts,Classic Cars,France
10108,Cruz & Sons Co.,Classic Cars,Philippines
10122,Marseille Mini Autos,Classic Cars,France
10135,Mini Gifts Distributors Ltd.,Classic Cars,USA
10147,Collectables For Less Inc.,Classic Cars,USA
10169,"Anna's Decorations, Ltd",Classic Cars,Australia
10181,Herkku Gifts,Classic Cars,Norway
10191,"Toms Spezialitten, Ltd",Classic Cars,Germany
10203,Euro Shopping Channel,Classic Cars,Spain
10225,"Vida Sport, Ltd",Classic Cars,Switzerland
10238,Danish Wholesale Imports,Classic Cars,Denmark
10253,"UK Collectables, Ltd.",Classic Cars,UK
10266,L'ordine Souveniers,Classic Cars,Italy
10276,Online Mini Collectables,Classic Cars,USA
10287,"Vida Sport, Ltd",Classic Cars,Switzerland
10300,"Blauer See Auto, Co.",Classic Cars,Germany
10310,"Toms Spezialitten, Ltd",Classic Cars,Germany
10320,"Volvo Model Replicas, Co",Classic Cars,Sweden
10363,Suominen Souveniers,Classic Cars,Finland
10389,Scandinavian Gift Ideas,Classic Cars,Sweden
10419,Salzburg Collectables,Classic Cars,Austria
10117,"Dragon Souveniers, Ltd.",Classic Cars,Singapore
10127,Muscle Machine Inc,Classic Cars,USA
10142,Mini Gifts Distributors Ltd.,Classic Cars,USA
10153,Euro Shopping Channel,Classic Cars,Spain
10165,"Dragon Souveniers, Ltd.",Classic Cars,Singapore
10176,L'ordine Souveniers,Classic Cars,Italy
10185,Mini Creations Ltd.,Classic Cars,USA
10196,Super Scale Inc.,Classic Cars,USA
10208,"Saveley & Henriot, Co.",Classic Cars,France
10220,"Clover Collections, Co.",Classic Cars,Ireland
10231,CAF Imports,Classic Cars,Spain
10247,Suominen Souveniers,Classic Cars,Finland
10272,Diecast Classics Inc.,Classic Cars,USA
10282,Mini Gifts Distributors Ltd.,Classic Cars,USA
10293,Amica Models & Co.,Classic Cars,Italy
10306,"AV Stores, Co.",Classic Cars,UK
10314,Heintze Collectables,Classic Cars,Denmark
10336,"La Corne D'abondance, Co.",Classic Cars,France
10348,"Corrida Auto Replicas, Ltd",Classic Cars,Spain
10371,Mini Gifts Distributors Ltd.,Classic Cars,USA
10382,Mini Gifts Distributors Ltd.,Classic Cars,USA
10413,Gift Depot Inc.,Classic Cars,USA
10113,Mini Gifts Distributors Ltd.,Trucks and Buses,USA
10216,Auto Assoc. & Cie.,Trucks and Buses,France
10189,Toys4GrownUps.com,Motorcycles,USA
10224,Daedalus Designs Imports,Motorcycles,France
10319,Microscale Inc.,Motorcycles,USA
10104,Euro Shopping Channel,Classic Cars,Spain
10230,"Blauer See Auto, Co.",Classic Cars,Germany
10324,Vitachrome Inc.,Classic Cars,USA
10358,Euro Shopping Channel,Classic Cars,Spain
10372,"Tokyo Collectables, Ltd",Classic Cars,Japan
10170,Mini Auto Werke,Classic Cars,Austria
10212,Euro Shopping Channel,Classic Cars,Spain
10376,Boards & Toys Co.,Classic Cars,USA
10349,Muscle Machine Inc,Classic Cars,USA
10396,Mini Gifts Distributors Ltd.,Classic Cars,USA
10377,"Toys of Finland, Co.",Classic Cars,Finland
10115,Classic Legends Inc.,Trucks and Buses,USA
10141,Suominen Souveniers,Trucks and Buses,Finland
10151,"Oulu Toy Supplies, Inc.",Trucks and Buses,Finland
10184,"Iberia Gift Imports, Corp.",Trucks and Buses,Spain
10195,Mini Classics,Trucks and Buses,USA
10219,Signal Collectibles Ltd.,Trucks and Buses,USA
10246,Euro Shopping Channel,Trucks and Buses,Spain
10271,Mini Gifts Distributors Ltd.,Trucks and Buses,USA
10292,Land of Toys Inc.,Trucks and Buses,USA
10412,Euro Shopping Channel,Trucks and Buses,Spain
10192,Online Diecast Creations Co.,Classic Cars,USA
10239,"Oulu Toy Supplies, Inc.",Classic Cars,Finland
10277,"Dragon Souveniers, Ltd.",Classic Cars,Singapore
10321,FunGiftIdeas.com,Classic Cars,USA
10405,Mini Caravy,Classic Cars,France
10109,Motor Mint Distributors Inc.,Classic Cars,USA
10136,Alpha Cognac,Classic Cars,France
10148,"Anna's Decorations, Ltd",Classic Cars,Australia
10161,Heintze Collectables,Classic Cars,Denmark
10171,Quebec Home Shopping Network,Classic Cars,Canada
10204,Muscle Machine Inc,Classic Cars,USA
10240,Osaka Souveniers Co.,Classic Cars,Japan
10278,Signal Gift Stores,Classic Cars,USA
10301,"Norway Gifts By Mail, Co.",Classic Cars,Norway
10331,Motor Mint Distributors Inc.,Classic Cars,USA
10342,"Australian Collectors, Co.",Classic Cars,Australia
10356,Lyon Souveniers,Classic Cars,France
10365,Mini Creations Ltd.,Classic Cars,USA
10390,Mini Gifts Distributors Ltd.,Classic Cars,USA
10406,Danish Wholesale Imports,Classic Cars,Denmark
10102,Vitachrome Inc.,Vintage Cars,USA
10125,"Australian Collectors, Co.",Vintage Cars,Australia
10139,Souveniers And Things Co.,Vintage Cars,Australia
10149,Signal Collectibles Ltd.,Vintage Cars,USA
10173,Rovelli Gifts,Vintage Cars,Italy
10182,Mini Gifts Distributors Ltd.,Vintage Cars,USA
10193,"Australian Collectables, Ltd",Vintage Cars,Australia
10205,Euro Shopping Channel,Vintage Cars,Spain
10227,"Saveley & Henriot, Co.",Vintage Cars,France
10244,Euro Shopping Channel,Vintage Cars,Spain
10256,Danish Wholesale Imports,Vintage Cars,Denmark
10289,Herkku Gifts,Vintage Cars,Norway
10332,"AV Stores, Co.",Vintage Cars,UK
10346,Signal Gift Stores,Vintage Cars,USA
10380,Euro Shopping Channel,Vintage Cars,Spain
10422,Diecast Classics Inc.,Vintage Cars,USA
10110,"AV Stores, Co.",Classic Cars,UK
10123,Atelier graphique,Classic Cars,France
10137,Reims Collectables,Classic Cars,France
10172,Gift Depot Inc.,Classic Cars,USA
10226,Collectable Mini Designs Co.,Classic Cars,USA
10241,Mini Caravy,Classic Cars,France
10288,Handji Gifts& Co,Classic Cars,Singapore
10311,Euro Shopping Channel,Classic Cars,Spain
10343,Reims Collectables,Classic Cars,France
10367,Toys4GrownUps.com,Classic Cars,USA
10378,Euro Shopping Channel,Classic Cars,Spain
10407,The Sharp Gifts Warehouse,Classic Cars,USA
10106,Rovelli Gifts,Planes,Italy
10131,Gift Ideas Corp.,Planes,USA
10198,Cruz & Sons Co.,Planes,Philippines
10250,The Sharp Gifts Warehouse,Planes,USA
10262,Euro Shopping Channel,Planes,Spain
10274,Collectables For Less Inc.,Planes,USA
10284,"Norway Gifts By Mail, Co.",Planes,Norway
10296,"Bavarian Collectables Imports, Co.",Planes,Germany
10327,Danish Wholesale Imports,Planes,Denmark
10338,Royale Belge,Planes,Belgium
10351,"Stylish Desk Decors, Co.",Planes,UK
10386,Euro Shopping Channel,Planes,Spain
10398,Reims Collectables,Planes,France
10416,L'ordine Souveniers,Planes,Italy
10100,Online Diecast Creations Co.,Vintage Cars,USA
10124,Signal Gift Stores,Vintage Cars,USA
10214,"Corrida Auto Replicas, Ltd",Vintage Cars,Spain
10302,"UK Collectables, Ltd.",Vintage Cars,UK
10344,Marseille Mini Autos,Vintage Cars,France
10379,Euro Shopping Channel,Vintage Cars,Spain
10420,Souveniers And Things Co.,Vintage Cars,Australia
10366,Royale Belge,Classic Cars,Belgium
10303,"Iberia Gift Imports, Corp.",Vintage Cars,Spain
10383,Euro Shopping Channel,Trucks and Buses,Spain
10101,"Blauer See Auto, Co.",Vintage Cars,Germany
10243,Diecast Collectables,Vintage Cars,USA
10409,Handji Gifts& Co,Vintage Cars,Singapore
10133,Euro Shopping Channel,Planes,Spain
10235,"Royal Canadian Collectables, Ltd.",Planes,Canada
10297,"Clover Collections, Co.",Planes,Ireland
10353,Gift Ideas Corp.,Planes,USA
10401,Tekni Collectables Inc.,Planes,USA
10255,Mini Caravy,Vintage Cars,France
10421,Mini Gifts Distributors Ltd.,Vintage Cars,USA
10257,The Sharp Gifts Warehouse,Vintage Cars,USA
10423,Petit Auto,Vintage Cars,Belgium
10269,Salzburg Collectables,Vintage Cars,Austria
10392,Mini Auto Werke,Vintage Cars,Austria
10130,Auto-Moto Classics Inc.,Ships,USA
10128,Euro Shopping Channel,Vintage Cars,Spain
10166,FunGiftIdeas.com,Vintage Cars,USA
10177,CAF Imports,Vintage Cars,Spain
10221,Petit Auto,Vintage Cars,Belgium
10232,giftsbymail.co.uk,Vintage Cars,UK
10394,Euro Shopping Channel,Classic Cars,Spain
10326,"Volvo Model Replicas, Co",Trains,Sweden
10252,Auto Canal Petit,Classic Cars,France
10265,"Australian Collectables, Ltd",Classic Cars,Australia
10290,Auto-Moto Classics Inc.,Vintage Cars,USA
10323,"Blauer See Auto, Co.",Vintage Cars,Germany
10330,Cruz & Sons Co.,Classic Cars,Philippines
10355,Euro Shopping Channel,Classic Cars,Spain
10146,Gift Ideas Corp.,Motorcycles,USA
10264,Gifts4AllAges.com,Motorcycles,USA
10286,"La Corne D'abondance, Co.",Motorcycles,France
10249,Cambridge Collectables Co.,Vintage Cars,USA
10328,Rovelli Gifts,Vintage Cars,Italy
10415,"Australian Collectables, Ltd",Vintage Cars,Australia
10152,"Australian Gift Network, Co",Classic Cars,Australia
10213,"Double Decker Gift Stores, Ltd",Vintage Cars,UK
10315,La Rochelle Gifts,Vintage Cars,France
10267,Muscle Machine Inc,Classic Cars,USA
10279,Euro Shopping Channel,Classic Cars,Spain
10158,Baane Mini Imports,Motorcycles,Norway
10340,Enaco Distributors,Motorcycles,Spain
10345,Atelier graphique,Vintage Cars,France
10190,Euro Shopping Channel,Motorcycles,Spain
10368,Mini Gifts Distributors Ltd.,Classic Cars,USA
10335,Mini Gifts Distributors Ltd.,Classic Cars,USA
10154,Boards & Toys Co.,Vintage Cars,USA
10233,Tekni Collectables Inc.,Vintage Cars,USA
10385,Mini Gifts Distributors Ltd.,Vintage Cars,USA
10242,Microscale Inc.,Vintage Cars,USA
10408,"Tokyo Collectables, Ltd",Vintage Cars,Japan
10317,Technics Stores Inc.,Planes,USA
10387,"Dragon Souveniers, Ltd.",Motorcycles,Singapore
10364,Marseille Mini Autos,Motorcycles,France
10116,Royale Belge,Trains,Belgium
10144,Royale Belge,Vintage Cars,Belgium
10156,Euro Shopping Channel,Vintage Cars,Spain
10199,West Coast Collectables Co.,Vintage Cars,USA
10397,Alpha Cognac,Ships,France
10352,Auto-Moto Classics Inc.,Ships,USA
10118,Enaco Distributors,Ships,Spain
10294,Online Mini Collectables,Ships,USA
